,wind_speedMS,humidity,wind_speedBF,latitude,wind_direction_degrees,longitude,wind_direction,temperature,temperature_10cm,visibility_meters,sun_intensity,wind_blast,water_level,datetime,tide,water_level_belgium_border,water_flow,waves_height,water_drainage
225,-,74,0,52.50,0,4.60,-,5.0,4.6,-,67,-,,11/30/2017 11:20:00,,,,,
237,4.2,95,3,51.45,262,4.33,W,3.5,3.6,45200,-,6.5,,11/30/2017 11:20:00,,,,,
251,10.15,78,5,54.85,0,4.73,-,5.0,-,14900,-,15.3,,11/30/2017 11:20:00,,,,,
250,13.63,-,6,53.22,340,3.22,-,-,-,-,-,-,,11/30/2017 11:20:00,,,,,
302,,,,693016.214052,,5760958.218467,,,,,,,798.0,2017-11-30T10:00:00Z,,,,,583.9
481,,,,692549.349346,,5760669.710691,,,,,,,790.0,2017-11-30T10:00:00Z,,,,,
434,,,,652169.607315,,5758925.037983,,,,,,,289.0,2017-11-30T10:00:00Z,,,,,
90,,,,714790.287523,,5767837.758842,,,,,,,727.0,2017-11-30T10:00:00Z,,,,,
420,,,,689271.050964,,5626372.648812,,,,,,,4520.0,2017-11-30T10:00:00Z,,4753.0,,,389.58
113,,,,526380.654363,,5692139.651956,,,,,,,203.0,2017-11-30T09:50:00Z,,,,191.0,
68,,,,640801.309746,,5820798.145219,,,,,,,-31.0,2017-11-30T10:00:00Z,,,,,
47,,,,569321.823604,,5699870.022692,,,,,,,216.0,2017-11-30T09:50:00Z,,,,14.0,
361,,,,703957.072471,,5673271.40971,,,,,,,2071.0,2017-11-30T10:00:00Z,,,,,
391,,,,704043.654025,,5673502.340176,,,,,,,1506.0,2017-11-30T10:00:00Z,,,,,
281,,,,687640.806395,,5739588.140585,,,,,,,579.0,2017-11-30T10:00:00Z,,,,,
114,,,,717538.4911,,5782864.851788,,,,,,,531.0,2017-11-30T10:00:00Z,,,,,
6,,,,576913.824086,,5759131.959309,,,,,,,94.0,2017-11-30T09:50:00Z,,,,,
542,,,,626695.345821,,5736960.640322,,,,,,,76.0,2017-11-30T10:00:00Z,,,,,
556,,,,627297.03495,,5722935.726168,,,,,,,523.0,2017-11-30T09:50:00Z,,,,,
368,,,,627268.63365,,5723051.848012,,,,,,,522.0,2017-11-30T09:50:00Z,,,,,
64,,,,700021.922,,5762290.374688,,,,,,,899.0,2017-11-30T10:00:00Z,,,,,583.9
143,,,,603084.756918,,5813700.79688,,,,,,,24.0,2017-11-30T09:50:00Z,,,,147.0,
102,,,,689909.250481,,5634235.002208,,,,,,,4428.0,2017-11-30T10:00:00Z,,,,,
316,,,,579010.995948,,5723754.575907,,,,,,,129.0,2017-11-30T10:00:00Z,,,,,
88,,,,703613.90338,,5757759.149855,,,,,,,969.0,2017-11-30T10:00:00Z,,,,,
7,,,,662953.888711,,5730335.305185,,,,,,,197.0,2017-11-30T10:00:00Z,,,,,
326,,,,686302.855964,,5680561.209692,,,,,,,3366.0,2017-11-30T10:00:00Z,,,,,
515,,,,663040.100207,,5729985.679633,,,,,,,474.0,2017-11-30T10:00:00Z,,,,,
116,,,,661069.630073,,5734705.561027,,,,,,,152.0,2017-11-30T10:00:00Z,,,,,
388,,,,661149.931278,,5734534.931542,,,,,,,197.0,2017-11-30T10:00:00Z,,,,,
389,,,,712630.911328,,5929208.21009,,,,,,,-7.0,2017-11-30T09:50:00Z,,,,3.0,
86,,,,637382.403594,,5866830.027239,,,,,,,-25.0,2017-11-30T10:00:00Z,,,,,
70,,,,559971.039694,,5710455.110021,,,,,,,-27.0,2017-11-30T10:00:00Z,,,,,
363,,,,656430.583587,,5882780.822035,,,,,,,-26.0,2017-11-30T10:00:00Z,,,,,
4,,,,576917.675576,,5759136.134634,,,,,,,104.0,2017-11-30T10:00:00Z,,,,,
49,,,,585156.455736,,5702032.900146,,,,,,,5.0,2017-11-30T10:00:00Z,,,,,
54,,,,629416.529543,,5741087.67409,,,,,,,93.0,2017-11-30T10:00:00Z,,,,,
110,,,,576844.532472,,5717534.171698,,,,,,,127.0,2017-11-30T10:00:00Z,,,,,
393,,,,712781.630765,,5808684.325383,,,,,,,217.0,2017-11-30T10:00:00Z,,,,,
320,,,,707907.37444,,5724461.634442,,,,,,,1087.0,2017-11-30T10:00:00Z,,,,,
443,,,,705196.828403,,5835766.684656,,,,,,,0.0,2017-11-30T10:00:00Z,,,,,105.07
273,,,,646686.811653,,5762070.32515,,,,,,,270.0,2017-11-30T10:00:00Z,,,,,551.02
190,,,,698819.547954,,5668220.61838,,,,,,,2193.0,2017-11-30T10:00:00Z,,2426.0,,,
466,,,,530586.16233,,5708023.592029,,,,,,,189.0,2017-11-30T10:00:00Z,,,,,
282,,,,647684.020117,,5914923.778702,,,,,,,-36.0,2017-11-30T10:00:00Z,,,,,
