,id,index,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
44,45,500,5.7,ZW,51.65,78.0,8.0,217.0,8.4,7.3,5.5,23100.0,3.0,15.0,2017-12-06T15:50:00Z,,,,,,
45,46,52,4.43,ZW,52.12,71.0,8.9,231.0,9.3,12.1,7.67,46200.0,4.0,14.0,2017-12-06T15:50:00Z,,,,,,
46,47,224,3.83,ZW,51.23,81.0,8.1,217.0,8.5,9.0,6.27,17600.0,4.0,8.0,2017-12-06T15:50:00Z,,,,,,
47,48,59,5.17,ZW,52.63,,,231.0,,6.3,3.96,,3.0,,2017-12-06T15:50:00Z,,,,,,
48,49,40,4.6,,52.5,81.0,9.5,0.0,9.7,,,,0.0,6.0,2017-12-06T15:50:00Z,,,,,,
49,50,270,4.33,ZW,51.45,82.0,8.1,220.0,8.4,7.4,4.35,16800.0,3.0,,2017-12-06T15:50:00Z,,,,,,
50,51,562,4.73,,54.85,79.0,,0.0,10.0,18.0,13.2,19500.0,6.0,,2017-12-06T15:50:00Z,,,,,,
51,52,560,3.22,ZW,53.22,,,235.0,,17.2,12.23,,6.0,,2017-12-06T15:40:00Z,,,,,,
52,53,397,5.132115283071737,,51.99329108225138,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,74.0
53,54,407,5.432734194349779,,51.809658334833976,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,108.0
54,55,276,5.0164675452582,,51.82211525498101,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,101.0
55,56,379,4.876824706486413,,51.8060410323932,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,57.0
56,57,371,4.894436967520258,,51.72018561772607,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,41.0
57,58,413,5.124738413689658,,51.735848468390806,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,61.0
58,59,125,4.851271005779988,,51.943091198704465,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,15.0
59,60,64,5.045595866596828,,52.93153759773201,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-63.0
60,61,303,4.578469621731783,,51.91645318512702,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,19.0
61,62,123,4.720594244057184,,52.00678031300524,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-9.0
62,63,557,4.29477504025294,,52.27309690062577,,,,,,,,,,2016-12-31T22:50:00Z,,,,,,-47.0
63,64,332,4.249788237012824,,51.91750726241122,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,73.0
64,65,50,4.26356268002619,,52.09903544119349,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,77.0
65,66,365,4.499761669717178,,51.920020071435616,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,37.0
66,67,37,4.554823277494596,,52.46232552610706,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-183.0
67,68,33,4.517595864600352,,52.46394323801087,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,8.0
68,69,346,4.161443141685025,,51.95823865896534,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,75.0
69,70,350,4.163079224867882,,51.930254633845045,,,,,,,,,,2016-12-31T22:50:00Z,,,,,,-38.0
70,71,556,4.649702504665566,,52.77265940515403,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-35.0
71,72,342,4.097315181954434,,51.97111741621608,,,,,,,,,,2016-12-31T22:50:00Z,,,,,,-49.0
72,73,337,4.119880972865758,,51.977574209555556,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,102.0
73,74,351,4.00771083374053,,51.992205305006436,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,112.0
74,75,25,4.744990371155876,,52.964359008309266,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-64.0
75,76,305,4.6707153919891065,,51.81952522950333,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,28.0
76,77,278,4.6224782622864256,,51.70470393245908,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,37.0
77,78,329,4.628905747370551,,51.89072242579648,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,14.0
78,79,301,4.4516221818179424,,51.830297888661214,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,37.0
79,80,367,4.464452372201167,,51.90653469923263,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,42.0
80,81,368,4.417595139610742,,51.88921347262995,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,51.0
81,82,356,4.349048281380394,,51.899639152846966,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,55.0
82,83,336,4.210878832251882,,51.90177090812752,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,72.0
83,84,334,4.22889246813204,,51.895774380848835,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,110.0
84,85,335,4.229822714908028,,51.891244066759974,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,62.0
85,86,364,4.307781429895947,,51.86634963667106,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,54.0
86,87,361,4.313755005831894,,51.88862515118811,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,62.0
87,88,358,4.333954175195292,,51.86166133255103,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,53.0
88,89,340,4.093561291164487,,51.96350729802468,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,110.0
89,90,349,4.107234107879986,,51.93768715514626,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,92.0
90,91,348,4.120655463801556,,51.954264715532005,,,,,,,,,,2016-12-31T22:50:00Z,,,,,,-41.0
91,92,347,4.138792478287798,,51.962297184045696,,,,,,,,,,2016-12-31T22:50:00Z,,,,,,-49.0
92,93,274,4.128238623863959,,51.81972352533245,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,41.0
93,94,272,4.033444544457227,,51.827028368122924,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,127.0
94,95,183,3.81148260600572,,51.75075673734599,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,161.0
95,96,129,3.8607654454679463,,51.86313353291701,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,134.0
96,97,353,3.9949550007473986,,51.96219251169814,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,103.0
97,98,354,4.029151484680914,,51.9621788742288,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,112.0
98,99,355,4.042464421568923,,51.92969175255771,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,110.0
99,100,6,7.207425354841503,,53.23156186501002,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,91.0
100,101,502,6.933124826943977,,53.32635523010041,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,51.0
101,102,522,6.828393885789879,,53.448701892804706,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-6.0
102,103,550,6.1969530399272665,,53.408686620541616,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-41.0
103,104,549,6.202908815560319,,53.46893751329463,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-34.0
104,105,529,5.958261517831829,,53.515826748520496,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-71.0
105,106,516,6.398434021920185,,53.57375031354659,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-57.0
106,107,533,5.87658299218042,,53.401969451613255,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-9.0
107,108,536,5.7594482318888645,,53.42976610409957,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-43.0
108,109,510,5.333033730647026,,53.44248623387901,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-93.0
109,110,18,5.336630786409729,,53.06986252418472,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-55.0
110,111,16,5.409342385436174,,53.17563409180255,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-34.0
111,112,504,5.091455962329961,,53.29612740059551,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-86.0
112,113,508,5.2200262493407115,,53.36304515880933,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-73.0
113,114,23,4.850192223461584,,53.03883532668969,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-70.0
114,115,21,4.733192969805148,,53.120611690287454,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,-82.0
115,116,212,4.421586413848946,,51.69504027920705,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,37.0
116,117,248,4.209993124713701,,51.3991508345751,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,178.0
117,118,254,4.075130328327502,,51.50615353310222,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,97.0
118,119,256,4.165743199829455,,51.51133454751357,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,93.0
119,120,220,4.109586112506949,,51.60359582005984,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,105.0
120,121,242,4.102579676595877,,51.36608550437528,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,199.0
121,122,244,4.164992436376934,,51.3778679338321,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,188.0
122,123,266,4.026205988135983,,51.39842678942008,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,208.0
123,124,265,4.006959331512228,,51.44555876208809,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,217.0
124,125,260,4.19195778152881,,51.479747065700685,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,87.0
125,126,222,4.144263445039435,,51.65934450097089,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,110.0
126,127,234,3.8198119458346387,,51.33621193057654,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,240.0
127,128,231,3.735445647431753,,51.41092409399195,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,239.0
128,129,268,3.9649390575640555,,51.40539978355142,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,224.0
129,130,197,3.6941974239518895,,51.6555156519373,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,170.0
130,131,188,3.8654184478131706,,51.543946891759795,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,109.0
131,132,208,4.006010505473233,,51.59540649574905,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,110.0
132,133,229,3.5645520085343856,,51.39911745731677,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,225.0
133,134,226,3.596056801834685,,51.442310933410184,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,226.0
134,135,166,3.440030890486031,,51.52144773428552,,,,,,,,,,2017-12-30T22:50:00Z,,,,,,17.0
