,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
87,5733628.795131,,556017.142832,,,,,,,,,,20171230T22:50:00Z,,,,,,161.0
8,5746165.909621,,559271.530521,,,,,,,,,,20171230T22:50:00Z,,,,,,134.0
464,5757300.674544,,568360.903761,,,,,,,,,,20171230T22:50:00Z,,,,,,103.0
195,5757331.84737,,570710.421515,,,,,,,,,,20171230T22:50:00Z,,,,,,112.0
356,5753731.738685,,571676.866443,,,,,,,,,,20171230T22:50:00Z,,,,,,110.0
470,5906295.053836,,780777.164604,,,,,,,,,,20171230T22:50:00Z,,,,,,91.0
273,5915790.484914,,761899.77096,,,,,,,,,,20171230T22:50:00Z,,,,,,51.0
42,5929013.390364,,754198.324755,,,,,,,,,,20171230T22:50:00Z,,,,,,6.0
268,5922496.917522,,712485.362632,,,,,,,,,,20171230T22:50:00Z,,,,,,41.0
366,5929214.552636,,712579.947805,,,,,,,,,,20171230T22:50:00Z,,,,,,34.0
549,5933727.000711,,696130.281367,,,,,,,,,,20171230T22:50:00Z,,,,,,71.0
57,5941470.299505,,724996.318368,,,,,,,,,,20171230T22:50:00Z,,,,,,57.0
320,5920843.142942,,691227.593928,,,,,,,,,,20171230T22:50:00Z,,,,,,9.0
367,5923626.819101,,683322.924393,,,,,,,,,,20171230T22:50:00Z,,,,,,43.0
189,5924030.014812,,654952.901605,,,,,,,,,,20171230T22:50:00Z,,,,,,93.0
494,5882594.511278,,656546.856355,,,,,,,,,,20171230T22:50:00Z,,,,,,55.0
179,5894519.40967,,661021.585505,,,,,,,,,,20171230T22:50:00Z,,,,,,34.0
21,5907253.099208,,639387.325892,,,,,,,,,,20171230T22:50:00Z,,,,,,86.0
137,5914954.525559,,647723.414002,,,,,,,,,,20171230T22:50:00Z,,,,,,73.0
332,5878191.298585,,624049.675784,,,,,,,,,,20171230T22:50:00Z,,,,,,70.0
22,5887091.157022,,615985.879866,,,,,,,,,,20171230T22:50:00Z,,,,,,82.0
523,5728077.182045,,598252.111076,,,,,,,,,,20171230T22:50:00Z,,,,,,37.0
479,5694908.142415,,584172.789971,,,,,,,,,,20171230T22:50:00Z,,,,,,178.0
316,5706661.48206,,574616.706917,,,,,,,,,,20171230T22:50:00Z,,,,,,97.0
556,5707333.915803,,580896.100116,,,,,,,,,,20171230T22:50:00Z,,,,,,93.0
111,5717533.692518,,576843.574168,,,,,,,,,,20171230T22:50:00Z,,,,,,105.0
343,5691113.199154,,576756.115681,,,,,,,,,,20171230T22:50:00Z,,,,,,199.0
262,5692490.642354,,581080.03756,,,,,,,,,,20171230T22:50:00Z,,,,,,188.0
172,5694632.620081,,571389.152745,,,,,,,,,,20171230T22:50:00Z,,,,,,208.0
138,5699855.507496,,569978.247612,,,,,,,,,,20171230T22:50:00Z,,,,,,217.0
543,5703850.439403,,582772.384387,,,,,,,,,,20171230T22:50:00Z,,,,,,87.0
491,5723770.569475,,579147.964913,,,,,,,,,,20171230T22:50:00Z,,,,,,110.0
100,5687533.035786,,557108.70583,,,,,,,,,,20171230T22:50:00Z,,,,,,240.0
358,5695779.408925,,551148.439315,,,,,,,,,,20171230T22:50:00Z,,,,,,239.0
256,5695350.191198,,567116.935443,,,,,,,,,,20171230T22:50:00Z,,,,,,224.0
132,5722952.980035,,548021.69941,,,,,,,,,,20171230T22:50:00Z,,,,,,170.0
446,5710671.594057,,560012.757943,,,,,,,,,,20171230T22:50:00Z,,,,,,109.0
306,5716519.148377,,569683.231566,,,,,,,,,,20171230T22:50:00Z,,,,,,110.0
17,5694360.994122,,539273.416454,,,,,,,,,,20171230T22:50:00Z,,,,,,225.0
9,5699181.909684,,541425.983215,,,,,,,,,,20171230T22:50:00Z,,,,,,226.0
460,5707906.220428,,530529.343665,,,,,,,,,,20171230T22:50:00Z,,,,,,17.0
83,5718898.855169,,547517.428302,,,,,,,,,,20171230T22:50:00Z,,,,,,117.0
28,5718950.111382,,547219.705797,,,,,,,,,,20171230T22:50:00Z,,,,,,174.0
284,5721427.958965,,533286.714217,,,,,,,,,,20171230T22:50:00Z,,,,,,174.0
37,5730284.432156,,546689.223867,,,,,,,,,,20171230T22:50:00Z,,,,,,168.0
181,5735373.609333,,542584.729619,,,,,,,,,,20171230T22:50:00Z,,,,,,155.0
79,5692072.821784,,526187.137511,,,,,,,,,,20171230T22:50:00Z,,,,,,206.0
62,5705870.741982,,516807.917788,,,,,,,,,,20171230T22:50:00Z,,,,,,184.0
